index,table                 ,table_count,id        ,name                   ,shape
85   ,bazhoupois_officeBuild,4          ,B03E40MU0I,金泰大厦                   ,"86.164042,41.749904;86.156449,41.757596;86.156807,41.757242;86.163764,41.749262;86.164042,41.749904"
86   ,bazhoupois_officeBuild,5          ,B03E4009AD,种业大厦                   ,"86.145332,41.752258;86.13708,41.751308;86.146005,41.76001;86.145992,41.758266;86.145332,41.752258"
87   ,bazhoupois_officeBuild,6          ,B0FFFO6CCM,住建大厦                   ,"86.175027,41.755069;86.175266,41.748769;86.174595,41.755047;86.166533,41.746519;86.172794,41.754837;86.173395,41.754577;86.174152,41.748651;86.172236,41.746165;86.174334,41.746681;86.16678,41.754509;86.175027,41.755069"
88   ,bazhoupois_officeBuild,7          ,B03E4007OW,华誉商务大厦                 ,"86.158102,41.767872;86.158454,41.769013;86.159956,41.769644;86.158519,41.768406;86.157903,41.769524;86.160182,41.767498;86.158102,41.767872"
89   ,bazhoupois_officeBuild,8          ,B0FFHJMCG2,联通大厦                   ,"86.148681,41.752965;86.149295,41.758806;86.15061,41.751796;86.141656,41.760921;86.141917,41.758845;86.149801,41.758546;86.148681,41.752965"
90   ,bazhoupois_officeBuild,9          ,B03E40MXTJ,龙府水苑                   ,"86.147855,41.752344;86.149265,41.759996;86.149684,41.75199;86.14162,41.751443;86.148787,41.759225;86.148985,41.751066;86.147855,41.752344"
91   ,bazhoupois_officeBuild,10         ,B03E40MATD,百川世纪商务大厦               ,"86.151979,41.758306;86.144969,41.766226;86.151673,41.767096;86.146184,41.765358;86.144078,41.764692;86.152026,41.764968;86.151979,41.758306"
92   ,bazhoupois_officeBuild,11         ,B03E400JXW,邮政大厦(石化大道)             ,"86.180477,41.738505;86.179085,41.733151;86.173977,41.731989;86.172911,41.732991;86.172826,41.732413;86.180328,41.739211;86.180477,41.738505"
93   ,bazhoupois_officeBuild,12         ,B03E400K61,巴州大厦                   ,"86.147031,41.764407;86.14071,41.758817;86.149083,41.766299;86.148065,41.765465;86.141782,41.766407;86.148388,41.766601;86.140715,41.758205;86.148438,41.764909;86.142679,41.764173;86.141095,41.765439;86.149127,41.759435;86.143413,41.763635;86.147031,41.764407"
94   ,bazhoupois_officeBuild,13         ,B0FFFYW1VJ,金色时代广场(萨依巴格路店)         ,"86.144509,41.761696;86.146368,41.768252;86.146563,41.767566;86.138407,41.767256;86.139689,41.761042;86.140654,41.765766;86.140502,41.765678;86.139913,41.767009;86.146244,41.767661;86.147509,41.765607;86.139982,41.760353;86.139102,41.767455;86.145834,41.765954;86.145994,41.766188;86.139221,41.766796;86.138212,41.760151;86.1392,41.767987;86.147097,41.761056;86.144509,41.761696"
95   ,bazhoupois_officeBuild,14         ,B0FFG3036L,第二师军垦大厦                ,"86.141659,41.75609;86.141343,41.755248;86.13497,41.763968;86.142182,41.756558;86.134312,41.757946;86.141659,41.75609"
96   ,bazhoupois_officeBuild,15         ,B03E40MTPE,民政大厦                   ,"86.140253,41.762556;86.138407,41.762984;86.145634,41.768678;86.144394,41.770536;86.144388,41.769008;86.139228,41.763914;86.139875,41.764916;86.140253,41.762556"
97   ,bazhoupois_officeBuild,16         ,B0FFGDXKPQ,冠农大厦                   ,"86.16095,41.730601;86.159367,41.721837;86.16078,41.720911;86.159214,41.721227;86.151827,41.730665;86.153148,41.723379;86.152958,41.723339;86.152721,41.729491;86.15905,41.730534;86.160986,41.721632;86.161221,41.723851;86.161234,41.730389;86.161833,41.728305;86.154794,41.729509;86.152429,41.723299;86.16095,41.730601"
98   ,bazhoupois_officeBuild,17         ,B0FFHNLLLX,和静县财政大厦                ,"86.37896,42.328594;86.386978,42.335739;86.388442,42.33561;86.3810,42.336536;86.37896,42.328594"
99   ,bazhoupois_officeBuild,18         ,B0FFG9ZX6K,人才大厦                   ,"86.249437,41.708187;86.249134,41.715415;86.243979,41.713127;86.24311,41.707305;86.245745,41.706159;86.251499,41.71634;86.252133,41.71634;86.244244,41.707355;86.244244,41.715615;86.248933,41.715615;86.249437,41.708187"
100  ,bazhoupois_park       ,1          ,B03E4007ZP,人民广场                   ,"86.149608,41.760318;86.148178,41.766112;86.150358,41.766085;86.148814,41.759561;86.149429,41.759465;86.151834,41.767876;86.152683,41.76746;86.152456,41.766565;86.152169,41.759868;86.149608,41.760318"
